Date,Cured,Deaths,Confirmed
28/03/20,1.0,0.0,14.0
29/03/20,1.0,0.0,19.0
30/03/20,1.0,0.0,23.0
31/03/20,1.0,0.0,40.0
01/04/20,1.0,0.0,83.0
02/04/20,1.0,1.0,86.0
03/04/20,1.0,1.0,132.0
04/04/20,1.0,1.0,161.0
05/04/20,1.0,1.0,190.0
06/04/20,1.0,3.0,226.0
07/04/20,1.0,3.0,266.0
08/04/20,5.0,4.0,305.0
09/04/20,6.0,4.0,348.0
10/04/20,7.0,6.0,363.0
11/04/20,11.0,6.0,381.0
12/04/20,11.0,6.0,381.0
13/04/20,11.0,7.0,432.0
14/04/20,14.0,9.0,473.0
15/04/20,16.0,9.0,503.0
16/04/20,20.0,14.0,534.0
17/04/20,36.0,14.0,572.0
18/04/20,42.0,15.0,603.0
19/04/20,42.0,15.0,603.0
20/04/20,92.0,20.0,722.0
21/04/20,96.0,22.0,757.0
22/04/20,120.0,24.0,813.0
23/04/20,141.0,27.0,895.0
24/04/20,145.0,29.0,955.0
25/04/20,171.0,31.0,1061.0
26/04/20,231.0,31.0,1097.0
27/04/20,235.0,31.0,1177.0
28/04/20,258.0,31.0,1259.0
29/04/20,287.0,31.0,1332.0
30/04/20,321.0,31.0,1403.0
