Date,Cured,Deaths,Confirmed
28/03/20,0.0,1.0,9.0
29/03/20,0.0,1.0,11.0
30/03/20,0.0,1.0,15.0
31/03/20,0.0,1.0,15.0
01/04/20,0.0,1.0,23.0
02/04/20,0.0,1.0,24.0
03/04/20,0.0,1.0,29.0
04/04/20,0.0,1.0,30.0
05/04/20,0.0,1.0,30.0
06/04/20,0.0,1.0,32.0
07/04/20,0.0,1.0,32.0
08/04/20,0.0,1.0,38.0
09/04/20,0.0,1.0,39.0
10/04/20,0.0,1.0,60.0
11/04/20,0.0,1.0,60.0
12/04/20,19.0,1.0,64.0
13/04/20,26.0,1.0,64.0
14/04/20,26.0,1.0,66.0
15/04/20,29.0,1.0,70.0
16/04/20,29.0,1.0,74.0
17/04/20,37.0,1.0,83.0
18/04/20,37.0,2.0,85.0
19/04/20,37.0,2.0,86.0
20/04/20,42.0,2.0,96.0
21/04/20,42.0,2.0,114.0
22/04/20,46.0,2.0,126.0
23/04/20,46.0,2.0,148.0
24/04/20,46.0,2.0,176.0
25/04/20,46.0,2.0,228.0
26/04/20,46.0,2.0,251.0
27/04/20,56.0,2.0,277.0
28/04/20,57.0,2.0,346.0
29/04/20,64.0,2.0,383.0
30/04/20,65.0,2.0,403.0
