Date,Cured,Deaths,Confirmed
28/03/20,0.0,0.0,6.0
29/03/20,0.0,0.0,7.0
30/03/20,0.0,0.0,7.0
31/03/20,0.0,0.0,8.0
01/04/20,2.0,0.0,9.0
02/04/20,2.0,0.0,9.0
03/04/20,3.0,0.0,9.0
04/04/20,3.0,0.0,9.0
05/04/20,3.0,0.0,9.0
06/04/20,8.0,0.0,10.0
07/04/20,9.0,0.0,10.0
08/04/20,9.0,0.0,10.0
09/04/20,9.0,0.0,10.0
10/04/20,9.0,0.0,10.0
11/04/20,9.0,0.0,18.0
12/04/20,10.0,0.0,25.0
13/04/20,10.0,0.0,31.0
14/04/20,10.0,0.0,31.0
15/04/20,13.0,0.0,33.0
16/04/20,17.0,0.0,33.0
17/04/20,23.0,0.0,36.0
18/04/20,24.0,0.0,36.0
19/04/20,24.0,0.0,36.0
20/04/20,25.0,0.0,36.0
21/04/20,25.0,0.0,36.0
22/04/20,26.0,0.0,36.0
23/04/20,28.0,0.0,36.0
24/04/20,28.0,0.0,36.0
25/04/20,30.0,0.0,36.0
26/04/20,32.0,0.0,37.0
27/04/20,32.0,0.0,37.0
28/04/20,32.0,0.0,37.0
29/04/20,34.0,0.0,38.0
30/04/20,36.0,0.0,38.0
