Date,Cured,Deaths,Confirmed
28/03/20,6.0,1.0,39.0
29/03/20,6.0,2.0,49.0
30/03/20,6.0,2.0,87.0
31/03/20,6.0,2.0,97.0
01/04/20,6.0,2.0,152.0
02/04/20,8.0,4.0,219.0
03/04/20,8.0,4.0,219.0
04/04/20,15.0,6.0,445.0
05/04/20,18.0,7.0,503.0
06/04/20,19.0,7.0,523.0
07/04/20,21.0,7.0,576.0
08/04/20,21.0,9.0,576.0
09/04/20,21.0,9.0,669.0
10/04/20,25.0,13.0,898.0
11/04/20,25.0,14.0,903.0
12/04/20,25.0,19.0,1069.0
13/04/20,27.0,24.0,1154.0
14/04/20,30.0,28.0,1510.0
15/04/20,30.0,30.0,1561.0
16/04/20,42.0,32.0,1578.0
17/04/20,51.0,38.0,1640.0
18/04/20,72.0,42.0,1707.0
19/04/20,72.0,43.0,1893.0
20/04/20,290.0,45.0,2003.0
21/04/20,431.0,47.0,2081.0
22/04/20,611.0,47.0,2156.0
23/04/20,724.0,48.0,2248.0
24/04/20,808.0,50.0,2376.0
25/04/20,857.0,53.0,2514.0
26/04/20,869.0,54.0,2625.0
27/04/20,877.0,54.0,2918.0
28/04/20,877.0,54.0,3108.0
29/04/20,1078.0,54.0,3314.0
30/04/20,1092.0,56.0,3439.0
