Date,Cured,Deaths,Confirmed
28/03/20,0.0,3.0,45.0
29/03/20,1.0,5.0,58.0
30/03/20,1.0,6.0,69.0
31/03/20,3.0,6.0,73.0
01/04/20,5.0,6.0,82.0
02/04/20,8.0,7.0,87.0
03/04/20,10.0,8.0,95.0
04/04/20,14.0,10.0,105.0
05/04/20,18.0,11.0,122.0
06/04/20,22.0,12.0,144.0
07/04/20,25.0,13.0,165.0
08/04/20,25.0,13.0,165.0
09/04/20,25.0,16.0,179.0
10/04/20,26.0,17.0,241.0
11/04/20,31.0,19.0,308.0
12/04/20,44.0,22.0,432.0
13/04/20,47.0,26.0,539.0
14/04/20,55.0,26.0,617.0
15/04/20,59.0,30.0,695.0
16/04/20,64.0,36.0,871.0
17/04/20,74.0,38.0,1021.0
18/04/20,88.0,48.0,1272.0
19/04/20,94.0,58.0,1604.0
20/04/20,106.0,67.0,1851.0
21/04/20,131.0,77.0,2066.0
22/04/20,144.0,95.0,2272.0
23/04/20,179.0,103.0,2407.0
24/04/20,258.0,112.0,2624.0
25/04/20,265.0,127.0,2815.0
26/04/20,282.0,133.0,3071.0
27/04/20,313.0,151.0,3301.0
28/04/20,394.0,162.0,3548.0
29/04/20,434.0,181.0,3774.0
30/04/20,527.0,197.0,4082.0
