Date,Cured,Deaths,Confirmed
28/03/20,12.0,0.0,33.0
29/03/20,17.0,0.0,33.0
30/03/20,18.0,0.0,36.0
31/03/20,21.0,0.0,40.0
01/04/20,21.0,0.0,43.0
02/04/20,21.0,0.0,43.0
03/04/20,24.0,0.0,49.0
04/04/20,24.0,0.0,49.0
05/04/20,25.0,1.0,59.0
06/04/20,25.0,1.0,84.0
07/04/20,25.0,1.0,90.0
08/04/20,28.0,3.0,147.0
09/04/20,29.0,3.0,169.0
10/04/20,29.0,3.0,169.0
11/04/20,29.0,3.0,177.0
12/04/20,29.0,3.0,185.0
13/04/20,29.0,3.0,185.0
14/04/20,34.0,3.0,199.0
15/04/20,34.0,3.0,199.0
16/04/20,43.0,3.0,205.0
17/04/20,43.0,3.0,205.0
18/04/20,43.0,3.0,225.0
19/04/20,87.0,3.0,233.0
20/04/20,87.0,3.0,233.0
21/04/20,127.0,3.0,254.0
22/04/20,127.0,3.0,254.0
23/04/20,140.0,3.0,262.0
24/04/20,156.0,3.0,272.0
25/04/20,156.0,3.0,272.0
26/04/20,176.0,3.0,289.0
27/04/20,176.0,3.0,289.0
28/04/20,183.0,3.0,296.0
29/04/20,209.0,3.0,310.0
30/04/20,209.0,3.0,310.0
