Date,Confirmed,Cured,Deaths
2020-03-28,1019,85,24
2020-03-29,1139,102,27
2020-03-30,1326,137,41
2020-03-31,1635,150,47
2020-04-01,2059,169,53
2020-04-02,2545,191,69
2020-04-03,3105,230,83
2020-04-04,3684,286,96
2020-04-05,4293,329,118
2020-04-06,4777,394,134
2020-04-07,5350,469,161
2020-04-08,5915,565,181
2020-04-09,6728,635,227
2020-04-10,7599,786,249
2020-04-11,8453,972,290
2020-04-12,9211,1086,332
2020-04-13,10454,1198,359
2020-04-14,11485,1365,396
2020-04-15,12371,1509,423
2020-04-16,13432,1767,449
2020-04-17,14354,2040,487
2020-04-18,15725,2466,522
2020-04-19,17305,2854,560
2020-04-20,18544,3273,593
2020-04-21,20081,3976,646
2020-04-22,21373,4370,682
2020-04-23,23040,5012,722
2020-04-24,24448,5496,781
2020-04-25,26283,5938,825
2020-04-26,27890,6523,881
2020-04-27,29458,7103,939
2020-04-28,31360,7739,1008
2020-04-29,33065,8429,1079
2020-04-30,34866,9059,1154
