Date,Cured,Deaths,Confirmed
28/03/20,1.0,1.0,20.0
29/03/20,1.0,2.0,31.0
30/03/20,2.0,2.0,48.0
31/03/20,2.0,2.0,54.0
01/04/20,2.0,2.0,62.0
02/04/20,2.0,2.0,62.0
03/04/20,3.0,2.0,75.0
04/04/20,3.0,2.0,75.0
05/04/20,4.0,2.0,106.0
06/04/20,4.0,2.0,109.0
07/04/20,4.0,2.0,116.0
08/04/20,4.0,2.0,116.0
09/04/20,4.0,4.0,158.0
10/04/20,6.0,4.0,184.0
11/04/20,6.0,4.0,207.0
12/04/20,6.0,4.0,224.0
13/04/20,6.0,4.0,245.0
14/04/20,16.0,4.0,270.0
15/04/20,30.0,4.0,278.0
16/04/20,36.0,4.0,300.0
17/04/20,38.0,4.0,314.0
18/04/20,42.0,5.0,328.0
19/04/20,51.0,5.0,341.0
20/04/20,56.0,5.0,350.0
21/04/20,71.0,5.0,368.0
22/04/20,81.0,5.0,380.0
23/04/20,92.0,5.0,407.0
24/04/20,92.0,5.0,427.0
25/04/20,109.0,5.0,454.0
26/04/20,112.0,6.0,494.0
27/04/20,137.0,6.0,523.0
28/04/20,164.0,7.0,546.0
29/04/20,176.0,8.0,565.0
30/04/20,192.0,8.0,581.0
