Date,Cured,Deaths,Confirmed
28/03/20,11.0,0.0,176.0
29/03/20,15.0,1.0,182.0
30/03/20,19.0,1.0,202.0
31/03/20,19.0,1.0,234.0
01/04/20,23.0,2.0,241.0
02/04/20,25.0,2.0,265.0
03/04/20,27.0,2.0,286.0
04/04/20,41.0,2.0,295.0
05/04/20,49.0,2.0,306.0
06/04/20,55.0,2.0,314.0
07/04/20,58.0,2.0,327.0
08/04/20,70.0,2.0,336.0
09/04/20,83.0,2.0,345.0
10/04/20,96.0,2.0,357.0
11/04/20,123.0,2.0,364.0
12/04/20,142.0,2.0,374.0
13/04/20,179.0,3.0,376.0
14/04/20,198.0,3.0,379.0
15/04/20,211.0,3.0,387.0
16/04/20,218.0,3.0,388.0
17/04/20,245.0,3.0,395.0
18/04/20,255.0,3.0,396.0
19/04/20,257.0,3.0,400.0
20/04/20,270.0,3.0,402.0
21/04/20,291.0,3.0,408.0
22/04/20,323.0,3.0,427.0
23/04/20,324.0,3.0,438.0
24/04/20,324.0,3.0,448.0
25/04/20,331.0,4.0,451.0
26/04/20,338.0,4.0,458.0
27/04/20,342.0,4.0,469.0
28/04/20,355.0,4.0,482.0
29/04/20,359.0,4.0,486.0
30/04/20,369.0,4.0,496.0
