Date,Cured,Deaths,Confirmed
28/03/20,0.0,2.0,30.0
29/03/20,0.0,2.0,30.0
30/03/20,0.0,3.0,47.0
31/03/20,0.0,3.0,47.0
01/04/20,0.0,3.0,66.0
02/04/20,0.0,6.0,99.0
03/04/20,0.0,6.0,104.0
04/04/20,0.0,6.0,104.0
05/04/20,0.0,9.0,165.0
06/04/20,0.0,9.0,165.0
07/04/20,0.0,13.0,229.0
08/04/20,0.0,13.0,229.0
09/04/20,0.0,16.0,259.0
10/04/20,0.0,16.0,259.0
11/04/20,0.0,33.0,443.0
12/04/20,0.0,36.0,564.0
13/04/20,44.0,43.0,604.0
14/04/20,51.0,50.0,730.0
15/04/20,64.0,53.0,987.0
16/04/20,64.0,53.0,1120.0
17/04/20,65.0,57.0,1308.0
18/04/20,69.0,69.0,1355.0
19/04/20,127.0,70.0,1407.0
20/04/20,127.0,74.0,1485.0
21/04/20,127.0,76.0,1540.0
22/04/20,148.0,80.0,1592.0
23/04/20,148.0,81.0,1695.0
24/04/20,203.0,83.0,1852.0
25/04/20,210.0,92.0,1952.0
26/04/20,210.0,99.0,2096.0
27/04/20,302.0,106.0,2168.0
28/04/20,361.0,113.0,2368.0
29/04/20,377.0,119.0,2561.0
30/04/20,461.0,130.0,2660.0
