Date,Cured,Deaths,Confirmed
28/03/20,25.0,5.0,180.0
29/03/20,25.0,6.0,186.0
30/03/20,25.0,8.0,198.0
31/03/20,39.0,9.0,216.0
01/04/20,39.0,9.0,302.0
02/04/20,42.0,13.0,335.0
03/04/20,42.0,16.0,335.0
04/04/20,42.0,24.0,490.0
05/04/20,42.0,24.0,490.0
06/04/20,56.0,45.0,748.0
07/04/20,56.0,48.0,868.0
08/04/20,79.0,64.0,1018.0
09/04/20,117.0,72.0,1135.0
10/04/20,125.0,97.0,1364.0
11/04/20,188.0,110.0,1574.0
12/04/20,208.0,127.0,1761.0
13/04/20,217.0,149.0,1985.0
14/04/20,229.0,160.0,2337.0
15/04/20,259.0,178.0,2687.0
16/04/20,295.0,187.0,2919.0
17/04/20,300.0,194.0,3205.0
18/04/20,331.0,201.0,3323.0
19/04/20,365.0,211.0,3651.0
20/04/20,507.0,223.0,4203.0
21/04/20,572.0,232.0,4669.0
22/04/20,722.0,251.0,5221.0
23/04/20,789.0,269.0,5652.0
24/04/20,840.0,283.0,6430.0
25/04/20,957.0,301.0,6817.0
26/04/20,1076.0,323.0,7628.0
27/04/20,1188.0,342.0,8068.0
28/04/20,1282.0,369.0,8590.0
29/04/20,1388.0,400.0,9318.0
30/04/20,1593.0,432.0,9915.0
