Date,Cured,Deaths,Confirmed
28/03/20,0.0,0.0,3.0
29/03/20,0.0,0.0,3.0
30/03/20,0.0,0.0,3.0
31/03/20,0.0,0.0,3.0
01/04/20,0.0,0.0,4.0
02/04/20,0.0,0.0,4.0
03/04/20,0.0,0.0,5.0
04/04/20,0.0,0.0,5.0
05/04/20,0.0,0.0,20.0
06/04/20,2.0,0.0,21.0
07/04/20,2.0,1.0,42.0
08/04/20,2.0,1.0,42.0
09/04/20,2.0,1.0,42.0
10/04/20,2.0,1.0,44.0
11/04/20,2.0,1.0,48.0
12/04/20,12.0,1.0,54.0
13/04/20,12.0,1.0,54.0
14/04/20,18.0,1.0,55.0
15/04/20,18.0,1.0,60.0
16/04/20,18.0,1.0,60.0
17/04/20,19.0,1.0,60.0
18/04/20,21.0,1.0,60.0
19/04/20,24.0,1.0,61.0
20/04/20,24.0,1.0,68.0
21/04/20,24.0,1.0,74.0
22/04/20,30.0,1.0,82.0
23/04/20,32.0,1.0,83.0
24/04/20,33.0,1.0,90.0
25/04/20,33.0,1.0,94.0
26/04/20,34.0,1.0,103.0
27/04/20,35.0,1.0,108.0
28/04/20,37.0,1.0,118.0
29/04/20,38.0,1.0,119.0
30/04/20,39.0,1.0,128.0
