Date,Cured,Deaths,Confirmed
28/03/20,1.0,1.0,38.0
29/03/20,1.0,1.0,38.0
30/03/20,1.0,1.0,38.0
31/03/20,1.0,3.0,41.0
01/04/20,1.0,3.0,42.0
02/04/20,1.0,4.0,46.0
03/04/20,1.0,5.0,48.0
04/04/20,1.0,5.0,57.0
05/04/20,1.0,5.0,57.0
06/04/20,4.0,6.0,76.0
07/04/20,4.0,7.0,91.0
08/04/20,4.0,7.0,91.0
09/04/20,4.0,8.0,101.0
10/04/20,5.0,11.0,132.0
11/04/20,5.0,11.0,132.0
12/04/20,5.0,11.0,151.0
13/04/20,14.0,11.0,167.0
14/04/20,14.0,12.0,176.0
15/04/20,14.0,13.0,186.0
16/04/20,27.0,13.0,186.0
17/04/20,27.0,13.0,186.0
18/04/20,27.0,13.0,202.0
19/04/20,31.0,16.0,219.0
20/04/20,31.0,16.0,219.0
21/04/20,39.0,16.0,245.0
22/04/20,49.0,16.0,251.0
23/04/20,65.0,16.0,277.0
24/04/20,65.0,16.0,277.0
25/04/20,67.0,17.0,298.0
26/04/20,67.0,17.0,298.0
27/04/20,71.0,18.0,313.0
28/04/20,71.0,18.0,313.0
29/04/20,71.0,19.0,322.0
30/04/20,90.0,19.0,357.0
