Date,Cured,Deaths,Confirmed
28/03/20,3.0,0.0,54.0
29/03/20,3.0,0.0,55.0
30/03/20,3.0,0.0,59.0
31/03/20,3.0,0.0,74.0
01/04/20,3.0,0.0,93.0
02/04/20,3.0,0.0,108.0
03/04/20,3.0,0.0,167.0
04/04/20,21.0,0.0,200.0
05/04/20,21.0,0.0,200.0
06/04/20,21.0,0.0,274.0
07/04/20,21.0,3.0,288.0
08/04/20,21.0,3.0,328.0
09/04/20,21.0,3.0,383.0
10/04/20,21.0,3.0,463.0
11/04/20,21.0,3.0,553.0
12/04/20,21.0,3.0,700.0
13/04/20,21.0,3.0,812.0
14/04/20,133.0,3.0,879.0
15/04/20,147.0,3.0,1005.0
16/04/20,147.0,3.0,1023.0
17/04/20,164.0,11.0,1131.0
18/04/20,183.0,11.0,1229.0
19/04/20,183.0,11.0,1351.0
20/04/20,183.0,14.0,1478.0
21/04/20,205.0,25.0,1576.0
22/04/20,230.0,25.0,1801.0
23/04/20,230.0,27.0,1890.0
24/04/20,230.0,27.0,1964.0
25/04/20,230.0,27.0,2034.0
26/04/20,493.0,33.0,2083.0
27/04/20,518.0,41.0,2185.0
28/04/20,669.0,46.0,2262.0
29/04/20,768.0,51.0,2364.0
30/04/20,768.0,51.0,2438.0
