Date,Cured,Deaths,Confirmed
28/03/20,2.0,1.0,40.0
29/03/20,4.0,1.0,49.0
30/03/20,4.0,1.0,67.0
31/03/20,4.0,1.0,74.0
01/04/20,6.0,1.0,234.0
02/04/20,6.0,1.0,234.0
03/04/20,6.0,1.0,309.0
04/04/20,6.0,2.0,411.0
05/04/20,6.0,3.0,485.0
06/04/20,8.0,5.0,571.0
07/04/20,8.0,5.0,621.0
08/04/20,19.0,7.0,690.0
09/04/20,21.0,8.0,738.0
10/04/20,21.0,8.0,834.0
11/04/20,44.0,8.0,911.0
12/04/20,44.0,10.0,969.0
13/04/20,50.0,11.0,1075.0
14/04/20,58.0,11.0,1173.0
15/04/20,81.0,12.0,1204.0
16/04/20,118.0,14.0,1242.0
17/04/20,180.0,15.0,1267.0
18/04/20,283.0,15.0,1323.0
19/04/20,365.0,15.0,1372.0
20/04/20,411.0,15.0,1477.0
21/04/20,457.0,17.0,1520.0
22/04/20,635.0,18.0,1596.0
23/04/20,662.0,18.0,1629.0
24/04/20,752.0,20.0,1683.0
25/04/20,866.0,22.0,1755.0
26/04/20,960.0,23.0,1821.0
27/04/20,1020.0,24.0,1885.0
28/04/20,1101.0,24.0,1937.0
29/04/20,1168.0,25.0,2058.0
30/04/20,1210.0,27.0,2162.0
