Date,Cured,Deaths,Confirmed
28/03/20,1.0,0.0,56.0
29/03/20,1.0,1.0,66.0
30/03/20,1.0,1.0,71.0
31/03/20,1.0,1.0,79.0
01/04/20,1.0,3.0,96.0
02/04/20,1.0,3.0,107.0
03/04/20,1.0,7.0,158.0
04/04/20,1.0,7.0,159.0
05/04/20,32.0,7.0,269.0
06/04/20,34.0,7.0,321.0
07/04/20,35.0,7.0,364.0
08/04/20,35.0,7.0,427.0
09/04/20,35.0,7.0,442.0
10/04/20,35.0,7.0,473.0
11/04/20,43.0,9.0,504.0
12/04/20,43.0,9.0,504.0
13/04/20,100.0,16.0,562.0
14/04/20,100.0,17.0,624.0
15/04/20,120.0,18.0,647.0
16/04/20,120.0,18.0,698.0
17/04/20,186.0,18.0,743.0
18/04/20,186.0,18.0,791.0
19/04/20,186.0,18.0,844.0
20/04/20,190.0,21.0,873.0
21/04/20,190.0,23.0,919.0
22/04/20,194.0,23.0,945.0
23/04/20,197.0,24.0,960.0
24/04/20,253.0,26.0,984.0
25/04/20,253.0,26.0,984.0
26/04/20,280.0,26.0,991.0
27/04/20,280.0,26.0,1002.0
28/04/20,321.0,26.0,1004.0
29/04/20,367.0,26.0,1012.0
30/04/20,367.0,26.0,1012.0
