Date,Cured,Deaths,Confirmed
28/03/20,11.0,0.0,55.0
29/03/20,11.0,0.0,65.0
30/03/20,11.0,0.0,82.0
31/03/20,14.0,0.0,101.0
01/04/20,14.0,2.0,103.0
02/04/20,14.0,2.0,113.0
03/04/20,14.0,2.0,172.0
04/04/20,19.0,2.0,174.0
05/04/20,19.0,2.0,227.0
06/04/20,21.0,3.0,305.0
07/04/20,21.0,3.0,305.0
08/04/20,26.0,3.0,343.0
09/04/20,31.0,4.0,410.0
10/04/20,32.0,4.0,431.0
11/04/20,32.0,4.0,433.0
12/04/20,45.0,5.0,452.0
13/04/20,47.0,5.0,483.0
14/04/20,49.0,5.0,657.0
15/04/20,51.0,11.0,735.0
16/04/20,68.0,13.0,773.0
17/04/20,74.0,14.0,846.0
18/04/20,86.0,14.0,969.0
19/04/20,108.0,17.0,1084.0
20/04/20,129.0,17.0,1176.0
21/04/20,140.0,20.0,1294.0
22/04/20,165.0,21.0,1412.0
23/04/20,187.0,21.0,1509.0
24/04/20,206.0,24.0,1604.0
25/04/20,248.0,26.0,1778.0
26/04/20,289.0,29.0,1843.0
27/04/20,335.0,31.0,1955.0
28/04/20,400.0,31.0,2043.0
29/04/20,477.0,36.0,2115.0
30/04/20,513.0,39.0,2203.0
