Date,Cured,Deaths,Confirmed
28/03/20,0.0,0.0,5.0
29/03/20,2.0,0.0,7.0
30/03/20,2.0,0.0,7.0
31/03/20,2.0,0.0,7.0
01/04/20,2.0,0.0,7.0
02/04/20,2.0,0.0,7.0
03/04/20,2.0,0.0,10.0
04/04/20,2.0,0.0,16.0
05/04/20,2.0,0.0,22.0
06/04/20,4.0,0.0,26.0
07/04/20,5.0,0.0,31.0
08/04/20,5.0,0.0,31.0
09/04/20,5.0,0.0,35.0
10/04/20,5.0,0.0,35.0
11/04/20,5.0,0.0,35.0
12/04/20,5.0,0.0,35.0
13/04/20,5.0,0.0,35.0
14/04/20,7.0,0.0,35.0
15/04/20,9.0,0.0,37.0
16/04/20,9.0,0.0,37.0
17/04/20,9.0,0.0,37.0
18/04/20,9.0,0.0,42.0
19/04/20,9.0,0.0,42.0
20/04/20,11.0,0.0,44.0
21/04/20,18.0,0.0,46.0
22/04/20,19.0,0.0,46.0
23/04/20,23.0,0.0,46.0
24/04/20,24.0,0.0,47.0
25/04/20,25.0,0.0,48.0
26/04/20,26.0,0.0,50.0
27/04/20,33.0,0.0,51.0
28/04/20,33.0,0.0,51.0
29/04/20,34.0,0.0,54.0
30/04/20,36.0,0.0,55.0
