Date,Cured,Deaths,Confirmed
28/03/20,0.0,1.0,15.0
29/03/20,0.0,1.0,18.0
30/03/20,0.0,1.0,22.0
31/03/20,0.0,2.0,26.0
01/04/20,6.0,3.0,37.0
02/04/20,6.0,3.0,53.0
03/04/20,3.0,3.0,63.0
04/04/20,3.0,3.0,69.0
05/04/20,10.0,3.0,80.0
06/04/20,10.0,3.0,80.0
07/04/20,13.0,3.0,91.0
08/04/20,13.0,5.0,99.0
09/04/20,16.0,5.0,103.0
10/04/20,16.0,5.0,116.0
11/04/20,16.0,5.0,126.0
12/04/20,19.0,5.0,134.0
13/04/20,29.0,7.0,152.0
14/04/20,36.0,7.0,190.0
15/04/20,37.0,7.0,213.0
16/04/20,42.0,7.0,231.0
17/04/20,51.0,10.0,255.0
18/04/20,55.0,10.0,287.0
19/04/20,62.0,12.0,310.0
20/04/20,66.0,12.0,339.0
21/04/20,73.0,12.0,392.0
22/04/20,73.0,15.0,423.0
23/04/20,79.0,15.0,456.0
24/04/20,103.0,15.0,514.0
25/04/20,103.0,18.0,571.0
26/04/20,105.0,18.0,611.0
27/04/20,105.0,20.0,649.0
28/04/20,109.0,20.0,697.0
29/04/20,119.0,22.0,725.0
30/04/20,124.0,22.0,758.0
